logP0_crit           	m1iso_crit          	phases_crit	logP0_hub            	m1iso_hub         	phases_hub	logP0_RHeRL           	m1iso_RHeRL       	logP0_critL2         	m1iso_critL2       	logP0_hubL2          	m1iso_hubL2        	logP0_RHeRL           	m1iso_RHeRL       	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band            	mtot_band        	m1iso_HD	mtot_yes          	qfin_yes          	m1_yes            	logP0_yes           	q_yes             	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2         	q_yesL2            
-0.25352295623232146 	1.2874495976861176  	9          	-0.2436640822972239  	1.4936906007481052	9         	3.146486804437172     	0.5250733275390776	-0.23096398683060163 	1.8250934043231097 	-0.2016658167392167  	3.10813657962922   	3.146486804437172     	0.7172549548113399	0.8227    	0.8553214071752208	 /             	2.3799   	4.1683 	9        	 /             	 /             	0.9994602950392938	2.3157           	 /      	1.371439562367111 	0.6514622189457313	0.541             	3.046486804437172   	1.5350084332109257	1.7339619249524234	0.9128096248785696 	0.9065000000000001	3.046486804437172   	0.9128096248785696 
-0.18388951185290334 	1.2187634129855818  	22         	-0.17229135696886466 	1.4492339024295804	22        	3.101964822321215     	0.5287156315201437	-0.16163363984145124 	1.7106799408486404 	-0.13110824703783389 	2.934990667066455  	3.136296329723248     	0.7186338096493164	0.8227    	0.8421612378648052	 /             	2.439    	4.1587 	24       	 /             	 /             	0.5510381781647689	1.371439562367111	 /      	1.379847374064699 	0.6617712263123071	0.5495            	3.046486804437172   	1.5110962221377602	1.742410098450648 	0.9042733316400524 	0.915             	3.046486804437172   	0.9042733316400524 
-0.10875627605837306 	1.1510039363893154  	22         	-0.09531232406886345 	1.4044212439150319	22        	3.05486900776667      	0.5325            	-0.0868316117769248  	1.5997716252338465 	-0.054953208782770296	2.7710180603319983 	3.1298033209940486    	0.7195            	0.8227    	0.8312361353319287	 /             	2.4978   	4.147  	26       	 /             	 /             	 /                	 /               	 /      	1.3882566842922774	0.6720813099814393	0.558             	3.046486804437172   	1.4879152048248698	1.750858843640179 	0.8958947954955916 	0.9235000000000001	3.046486804437172   	0.8958947954955916 
-0.028829310930777986	1.0874766493514803  	 /         	-0.013594901473222351	1.3600456624980355	 /        	3.0506467027348276    	0.5328535913553007	-0.007247388951387778	1.497516063378951  	0.025945527160636177 	2.617979082747747  	3.09801822532679      	0.7238801707756176	0.8227    	0.8308774220644649	 /             	2.5506   	4.1323 	 /       	 /             	 /             	 /                	 /               	 /      	1.3966674513497024	0.6823924487511204	0.5665            	3.046486804437172   	1.4654323942624934	1.8814577802180428	0.7757978104936691 	1.0595            	1.1464868044371717  	0.7757978104936691 
0.05773102978306657  	1.0284083694712016  	 /         	0.07462435975617748  	1.3154434220357825	 /        	3.046486804437172     	0.5331959325858181	0.07896326287241795  	1.4039032734478725 	0.11333867086750907  	2.4725617385242113 	3.067702977615089     	0.7280000000000001	0.8227    	0.8305263716580539	 /             	2.5964   	4.1136 	 /       	 /             	 /             	 /                	 /               	 /      	1.4050796352392463	0.6927046220502364	0.5750000000000001	3.046486804437172   	1.443616756937819 	1.889958213011937 	0.769623794954997  	1.068             	1.1464868044371717  	0.769623794954997  
0.15458465962615822  	0.9721325212895957  	 /         	0.1730183678490878   	1.2693003137112135	 /        	2.9979131448356724    	0.5368712389338726	0.17545300644545098  	1.316004862735887  	0.21087397482765347  	2.33010949993296   	3.059699857166886     	0.7291231094820259	0.8227    	0.8265941536419247	 /             	2.6353   	4.0897 	 /       	 /             	 /             	 /                	 /               	 /      	1.4134931975734117	0.703017809912099 	0.5835            	3.046486804437172   	1.4224390703914511	1.8984586415514277	0.763547275012938  	1.0765            	1.1464868044371717  	0.763547275012938  
0.2602847728197255   	0.9191919956867558  	 /         	0.2801407264502732   	1.2228900704395709	 /        	2.9464868044371717    	0.5407428204454165	0.2807806003939913   	1.2344457896784722 	0.3171277870038929   	2.194237160036859  	3.046486804437172     	0.730952141060131 	0.8227    	0.8227418753968841	 /             	2.6675   	4.0612 	 /       	 /             	 /             	 /                	 /               	 /      	1.4219081014889647	0.713331992949429 	0.5920000000000001	3.046486804437172   	1.4018717930556834	1.9069590659030267	0.7575659593576283 	1.085             	1.1464868044371717  	0.7575659593576283 
0.31725399011615923  	0.8863017002979772  	 /         	0.3383548978907937   	1.1991745406909644	 /        	2.944817126186902     	0.540858077348727 	0.3375023182102767   	1.1843207306035728 	0.3748959883242104   	2.1274443990939123 	3.0198160324977823    	0.7342329843851519	0.8227    	0.8226219789351169	 /             	2.6977   	4.0489 	 /       	 /             	 /             	 /                	 /               	 /      	1.4303243115666724	0.7236471523306928	0.6005            	3.046486804437172   	1.3818889451568233	1.915459486131763 	0.7516776279211365 	1.0935000000000001	1.1464868044371717  	0.7516776279211365 
0.35759676757792347  	0.8318505354933938  	 /         	0.38221522223897236  	1.1819523730748724	 /        	2.9427683477405       	0.541             	0.37740579434950977  	1.1022456667504674 	0.41843145204280585  	2.0799918323602324 	3.001257951681156     	0.7365            	0.8227    	0.8224752787310221	 /             	2.7792   	4.102  	 /       	 /             	 /             	 /                	 /               	 /      	1.4387417937563067	0.7339632697577023	0.609             	3.046486804437172   	1.3624659995998472	1.9239599023012262	0.7458801291299691 	1.102             	1.1464868044371717  	0.7458801291299691 
0.4962006715943219   	0.7843321028436823  	 /         	0.5219490601477866   	1.1303969231685997	 /        	2.8904502660595055    	0.5447368942378984	0.5155934468243586   	1.0315390322419884 	0.5571897701788109   	1.942994652321644  	2.9791475353804118    	0.7392761621301754	0.8225    	0.8265026840072783	 /             	2.7867   	4.0562 	 /       	 /             	 /             	 /                	 /               	 /      	1.4471605153064921	0.7442803274443933	0.6175            	3.046486804437172   	1.3435797818728616	1.932460314473609 	0.740171377283754  	1.1105            	1.1464868044371717  	0.740171377283754  
