logP0_crit          	m1iso_crit        	phases_crit	logP0_hub           	m1iso_hub         	phases_hub	logP0_RHeRL           	m1iso_RHeRL        	logP0_critL2         	m1iso_critL2       	logP0_hubL2          	m1iso_hubL2       	logP0_RHeRL           	m1iso_RHeRL       	logP0_critL2_DEF   	m1iso_critL2_DEF	logP0_hubL2_DEF    	m1iso_hubL2_DEF 	logP0_RHeRLL2_DEF    	m1iso_RHeRLL2_DEF 	m2iso_crit        	m2iso_RHeRL       	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band            	mtot_band         	m1iso_HD	mtot_yes          	qfin_yes          	m1_yes             	logP0_yes           	q_yes             	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2         	q_yesL2            	mtot_yesL2_DEF  	qfin_yesL2_DEF   	m1_yesL2_DEF    	logP0_yesL2_DEF   	q_yesL2_DEF      
-0.2949268562290583 	0.9917444675726751	9          	-0.2849787661944169 	1.1507360742619477	9         	3.105082904440435     	0.41670449866536646	-0.27257535640606423 	1.3962464831564176 	-0.24304581192263022 	2.360243278920987 	3.105082904440435     	0.5618513993545092	-0.2724756941853159  	1.3984810103677088	-0.2433648517873207  	2.349112548828125 	3.105082904440435    	0.5625539418079385	0.6150000000000001	0.7698600828346136	 /             	2.0169   	4.1067 	9        	 /             	 /             	0.9989073269768274	1.9757000000000002	 /      	1.2534405225394267	0.5075528417969174	0.42200000000000004	3.105082904440435   	1.9702382050697314	1.3961876859162987	0.6827870409747775 	0.5665            	3.105082904440435   	1.4645855002935544 	1.3961876859162987	0.6827870409747775 	0.5665            	3.105082904440435   	1.4645855002935544 
-0.22129319400632555	0.938505540588319 	19         	-0.20956480726396645	1.1166450168473039	19        	3.069580458043032     	0.4189822920562208 	-0.19925664224589446 	1.308623602025449  	-0.1684505530768886  	2.2319567696331437	3.0802634230004498    	0.5643903440776012	-0.19916760822876936 	1.310457535940512 	-0.16868622871381256 	2.2174963378906245	3.0839060395245723   	0.5646999664821517	0.6150000000000001	0.755474015756978 	 /             	2.0706   	4.0943 	22       	 /             	 /             	0.5075528417969174	1.2534405225394267	 /      	1.2618205937804619	0.5178507584448077	0.4305             	3.105082904440435   	1.9310582898500854	1.404600383570778 	0.6931047904354585 	0.5750000000000001	3.105082904440435   	1.4427832757752659 	1.404600383570778 	0.6931047904354585 	0.5750000000000001	3.105082904440435   	1.4427832757752659 
-0.14850466190913275	0.8892755118273549	19         	-0.1349745203341523 	1.0850281113557274	19        	3.02217618787581      	0.42200000000000004	-0.12678873479162328 	1.228914094142012  	-0.09462162234768844 	2.1195501408315245	3.059511863651811     	0.5665            	-0.1267104224276449  	1.2304023331792342	-0.09498026570934276 	2.103428955078124 	3.0660293548127435   	0.5665            	0.6150000000000001	0.7374627024319338	 /             	2.122    	4.0816 	27       	 /             	 /             	 /                	 /                	 /      	1.2702031364190352	0.5281500763956293	0.43900000000000006	3.105082904440435   	1.8934012219112413	1.4130145231176896	0.7034234889667079 	0.5835            	3.105082904440435   	1.4216187199960402 	1.4130145231176896	0.7034234889667079 	0.5835            	3.105082904440435   	1.4216187199960402 
-0.0715158708906765 	0.8429899993923562	 /         	-0.05623478349660621	1.0537014797519957	 /        	3.012589484943158     	0.4226380593427315 	-0.050129828312462474	1.1550994984714407 	-0.016638557959536265	2.0138105515638838	3.0351797374144978    	0.5690582308027954	-0.050061993585961057	1.1562920783321322	-0.017032067963272404	1.9966735839843748	3.038635635590533    	0.5693519821477584	0.6150000000000001	0.7339769929074742	 /             	2.168    	4.0663 	 /       	 /             	 /             	 /                	 /                	 /      	1.2785880633544733	0.5384507607939661	0.4475             	3.105082904440435   	1.8571800298423982	1.4214300650499139	0.7137431170455274 	0.5920000000000001	3.105082904440435   	1.4010642990708004 	1.4214300650499139	0.7137431170455274 	0.5920000000000001	3.105082904440435   	1.4010642990708004 
0.01740833889993187 	0.7969668757248043	 /         	0.03442499208517189 	1.0199817808471672	 /        	3.005082904440435     	0.42313387669362845	0.03843623038000654  	1.082765787820902  	0.07320374709055993  	1.905683726959761 	3.005082904440435     	0.572203242362408 	0.0384935401591073   	1.0836961787776387	0.07245682336542889  	1.8884558105468747	3.005082904440435    	0.5728232180275713	0.6150000000000001	0.7312838553307064	 /             	2.21     	4.0458 	 /       	 /             	 /             	 /                	 /                	 /      	1.2869752919771806	0.5487527780940594	0.45600000000000007	3.105082904440435   	1.8223142367920628	1.4298469714282067	0.7240636557289014 	0.6005            	3.105082904440435   	1.381094040679778  	1.4298469714282067	0.7240636557289014 	0.6005            	3.105082904440435   	1.381094040679778  
0.11263332355365041 	0.7553330312905719	 /         	0.13116205613667883 	0.9864887671017953	 /        	2.9529919920312353    	0.42607227244521806	0.13330871875079853  	1.018228156203317  	0.16912525693003813  	1.803595616164595 	2.988001555589164     	0.573548085347642 	0.1333565778080388   	1.0189495256695362	0.16862474707866495  	1.786087646484375 	2.9917616973373238   	0.5738676973962356	0.6150000000000001	0.7134632110599645	 /             	2.2426   	4.021  	 /       	 /             	 /             	 /                	 /                	 /      	1.2953647438625286	0.5590560959905819	0.4645             	3.105082904440435   	1.7887292655813314	1.4382652057990999	0.7343850866299798 	0.609             	3.105082904440435   	1.3616834249574712 	1.4382652057990999	0.7343850866299798 	0.609             	3.105082904440435   	1.3616834249574712 
0.21649171814307153 	0.7169124078447866	 /         	0.2363331143970862  	0.952672869397507 	 /        	2.9050829044404347    	0.4287787895630351 	0.23681543557790635  	0.959417293402265  	0.273468697733181    	1.705413820770085 	2.969600027125032     	0.5750000000000001	0.2368547166016625   	0.9599690329407473	0.2731676024690611   	1.6881066894531247	2.977357948337677    	0.5750000000000001	0.6150000000000001	0.7037991729492812	 /             	2.2677   	3.9915 	 /       	 /             	 /             	 /                	 /                	 /      	1.3037563444906162	0.5693606833541827	0.473              	3.105082904440435   	1.7563559080139877	1.4466847331181425	0.7447073918955265 	0.6175            	3.105082904440435   	1.34280928440185   	1.4466847331181425	0.7447073918955265 	0.6175            	3.105082904440435   	1.34280928440185   
0.2816228248328346  	0.6904528542217383	 /         	0.30267359510311415 	0.9325993371798704	 /        	2.8924776789845774    	0.4294285558362521 	0.3016883632951375   	0.9193273595567959 	0.3393156358632767   	1.6492805537209725	2.93660478215051      	0.5776793596053564	0.3017218391266766   	0.9197746963231346	0.33878278941313594  	1.6325354003906247	2.9403191181766863   	0.5779950781675814	0.6150000000000001	0.7017106032991628	 /             	2.2946   	3.9756 	 /       	 /             	 /             	 /                	 /                	 /      	1.312150022989309 	0.5796665101713929	0.48150000000000004	3.105082904440435   	1.725129850445086 	1.455105519678064 	0.7550305541845524 	0.626             	3.105082904440435   	1.3244497119457892 	1.455105519678064 	0.7550305541845524 	0.626             	3.105082904440435   	1.3244497119457892 
0.3247892020017057  	0.6437886193393584	 /         	0.3498051182104029  	0.918883355817464 	 /        	2.871892108809799     	0.4305             	0.3443646702874357   	0.8494359248402331 	0.38610886659376026  	1.61179305019306  	2.9050829044404347    	0.5802450800952668	0.34438812734038493  	0.8497222064083565	0.38475627652793615  	1.5959753417968747	2.9050829044404347   	0.5808523896411562	0.6150000000000001	0.6983859770898367	 /             	2.3872   	4.0319 	 /       	 /             	 /             	 /                	 /                	 /      	1.3205457118982495	0.5899735474885338	0.49               	3.105082904440435   	1.6949912487719379	1.4635275330414848	0.7653545566480596 	0.6345000000000001	3.105082904440435   	1.3065839764247196 	1.4635275330414848	0.7653545566480596 	0.6345000000000001	3.105082904440435   	1.3065839764247196 
0.47415519379215887 	0.6092939328252243	 /         	0.4999485172698913  	0.8778304984875271	 /        	2.831038660524828     	0.43270623926717344	0.493337226631565    	0.7984324911726958 	0.5352389944572358   	1.5036644489640476	2.8843642315148736    	0.5817389128013273	0.4933534527674175   	0.7986172150939975	0.5354863344669386   	1.4877575683593747	2.8882196274983456   	0.5820666214599225	0.6147            	0.6920919568262768	 /             	2.3971   	3.9851 	 /       	 /             	 /             	 /                	 /                	 /      	1.3289433469518102	0.6002817673592941	0.49850000000000005	3.105082904440435   	1.6658843469444538	1.4719507419778317	0.7756793829098177 	0.643             	3.105082904440435   	1.28919244475557   	1.4719507419778317	0.7756793829098177 	0.643             	3.105082904440435   	1.28919244475557   
