mass[Msun]                Teff[K]                   L[Lsun]                   R[Rsun]                  Gamma_e

52.749999999999993        61825.320632387033        2032836.5410881068        12.427152721590387       0.59011917289557592
42.999999999999993        70996.506995914504        1535682.9854305058        8.1908690526755130       0.54688101518703280
42.750000000000000        71288.949173461631        1523211.3855256673        8.0907507714294855       0.54561184296016152
42.500000000000000        71585.571233418217        1510752.4515009038        7.9909575753576272       0.54433230288061996
42.250000000000000        71885.487979562618        1498313.3540631877        7.8917266800819856       0.54304480983614223
41.750000000000000        72498.228004374556        1473474.0282722402        7.6943089415014914       0.54043782283621911
39.750000000000000        75117.837534200808        1374789.9054026334        6.9228540207049436       0.52961335978589685
39.250000000000000        75819.797537523074        1350287.7547529629        6.7344337468169400       0.52680076676936183
39.000000000000000        76177.924839825355        1338065.6796454694        6.6410018444118393       0.52537881275807552
38.750000000000000        76542.040691726303        1325857.3988030453        6.5478918178472565       0.52394396208373750
38.500000000000000        76910.915115254233        1313670.6770643457        6.4553598429440981       0.52249905189766899
38.250000000000000        77285.341147634332        1301501.9868615028        6.3632842241890009       0.52104247273027882
38.000000000000000        77665.535480620340        1289351.6028878770        6.2716550175487793       0.51957410496677781
33.250000000000000        86905.754039768435        1062310.3128615967        4.5465481570399646       0.48923720708326091
33.000000000000000        87761.429295747905        1050585.9922929262        4.4336518626124999       0.48750311645292771
32.750000000000000        88130.305039910847        1038880.3089593293        4.3720525323089037       0.48575126540435370
32.500000000000000        88747.955960895124        1027196.1352220924        4.2870952316144280       0.48398259744827027
32.250000000000000        89210.950231584677        1015536.7193074296        4.2185640351638281       0.48219826382015402
32.000000000000000        89806.465147860465        1003908.1176687540        4.1389000496000561       0.48040079555435433
31.750000000000000        90163.293915245842        992296.58850693179        4.0823888708167031       0.47858325473336577
31.500000000000000        90930.527502668439        980714.99475364701        3.9902963196885728       0.47675141644944025
31.249999999999996        91607.871116486582        969159.10207362578        3.9082750395613761       0.47490286267407306
31.000000000000000        91874.284438667455        957628.93984675012        3.8624587356689983       0.47303720351291040
30.750000000000000        92421.835722517208        946122.48004336120        3.7938282037095856       0.47115301183691116
30.500000000000000        93154.667789081155        934639.88457531773        3.7116419374524252       0.46924991321876053
30.250000000000000        93780.983235767242        923188.87595466024        3.6397275735555961       0.46733134813680605
30.000000000000004        94417.450972392224        911763.50386649778        3.5685330237639206       0.46539389269424841
29.750000000000000        94991.561974653247        900367.34385633445        3.5034261748227049       0.46343891107556695
29.500000000000000        95861.474936640239        888998.96868733736        3.4183425095457856       0.46146521684408592
29.250000000000000        96326.024445978808        877654.02988126420        3.3637798406146859       0.45947005367083932
29.000000000000000        97123.528385543235        866344.87469979946        3.2873781423529147       0.45745938609622150
28.750000000000000        97767.057255359250        855061.50625037169        3.2230478411812458       0.45542748505858560
28.499999999999996        98401.432167354447        843803.83458740625        3.1606111618723691       0.45337374345505238
28.250000000000000        99039.705964938636        832578.74103081704        3.0991823850280489       0.45130131148361857
28.000000000000000        99806.194835271468        821384.63915296725        3.0311780883407327       0.44920882090459013
27.750000000000000        100467.85751336582        810216.52582272829        2.9709779424630200       0.44709296877003019
27.500000000000000        101166.09993275773        799084.31794532237        2.9099092775639632       0.44495864003302799
27.250000000000004        101801.43579893539        787980.84179158404        2.8536662805620452       0.44280129492745629
26.999999999999996        102520.41344774744        776909.26949768618        2.7939434685262450       0.44062209317861700
26.750000000000000        103283.84113710417        765871.47360875038        2.7331681152746308       0.43842149391789109
26.500000000000000        103965.64113101226        754866.50340494630        2.6779876251621091       0.43619834218346304
26.250000000000000        104540.59151633370        743896.31065807666        2.6292958567549145       0.43395313218822118
26.000000000000000        105278.73220608593        732955.24735486507        2.5734195577068615       0.43168190117782190
25.750000000000004        105879.30747090856        722050.39584629633        2.5253101948252099       0.42938810298299751
25.500000000000000        106584.83699853327        711175.02146750060        2.4731505676633221       0.42706702963589266
25.250000000000000        107128.26560772762        700340.09819026070        2.4294026989213062       0.42472452619994994
25.000000000000000        107818.67212425827        689541.85912645503        2.3798277314930787       0.42235764248112934
24.750000000000000        108544.36681677344        678776.55094959273        2.3297107148297473       0.41996331747629378
24.500000000000004        109144.65035833167        668046.01630408992        2.2858695488501715       0.41754186283497580
24.249999999999996        109718.62474137722        657352.96304161090        2.2438393638772309       0.41509414940469941
24.000000000000000        101299.60987594286        644234.57458841498        2.6095480931424895       0.41236718830380148
23.750000000000000        110920.62257804576        636084.78929266753        2.1596634034076194       0.41012016810866342
23.500000000000000        111461.53142736475        625508.24608485645        2.1208974455941911       0.40759130180367059
23.250000000000000        112026.08118033581        614972.25482625794        2.0818173997714888       0.40503475971614639
23.000000000000000        104555.09961212950        602168.86457571038        2.3682499913224877       0.40219973018015287
22.750000000000000        113082.34570361862        594017.46743394912        2.0079974250103496       0.39983199613600318
22.500000000000000        113573.08345349797        583600.46010117815        1.9731501735284038       0.39718499918433664
22.250000000000000        114045.90166167069        573229.26085532398        1.9393579291301046       0.39451004537276541
22.000000000000000        107302.58601092338        560749.50821412948        2.1698160124540928       0.39155929250160043
21.750000000000000        114959.57823036805        552610.12178930326        1.8740115144973748       0.38906243836884752
21.499999999999996        115373.46508829267        542363.26082722307        1.8432592410267383       0.38628828149475480
21.250000000000000        115790.77177840009        532164.00358366338        1.8127086661287304       0.38348315409725831
21.000000000000000        109916.05234394697        520016.34574703604        1.9913384962748828       0.38040745108538293
20.750000000000000        116531.19022691637        511904.04616585927        1.7553473883928614       0.37777237065688046
20.500000000000000        116874.94402987504        501846.63838588673        1.7278094251955098       0.37486672203090876
