logP0_crit         	m1iso_crit        	phases_crit	logP0_hub          	m1iso_hub         	phases_hub	logP0_RHeRL        	m1iso_RHeRL       	logP0_critL2       	m1iso_critL2      	logP0_hubL2        	m1iso_hubL2       	logP0_RHeRL        	m1iso_RHeRL       	logP0_critL2_DEF 	m1iso_critL2_DEF	logP0_hubL2_DEF 	m1iso_hubL2_DEF 	logP0_RHeRLL2_DEF  	m1iso_RHeRLL2_DEF 	m2iso_crit	m2iso_RHeRL       	m2iso_PmergeMIN	logL_Lsun	logTeff	HR_phases	logP0_PmergeMIN	m1iso_PmergeMIN	q_band             	mtot_band        	m1iso_HD	mtot_yes          	qfin_yes           	m1_yes            	logP0_yes          	q_yes              	mtot_yesL2        	qfin_yesL2         	m1_yesL2          	logP0_yesL2        	q_yesL2            	mtot_yesL2_DEF  	qfin_yesL2_DEF   	m1_yesL2_DEF    	logP0_yesL2_DEF  	q_yesL2_DEF      
0.10180785737428227	17.273599825388242	9          	0.13865254301769586	37.977393517229714	9         	3.7018176180437754 	3.548369147427088 	0.12633241473977355	27.852763045374992	0.42333153193934564	131.20226316516982	3.7018176180437754 	4.513005972120143 	0.12615352650928155	27.74120352187437 	1.8667474591030608	27.74120352187437 	3.7018176180437754 	4.524346871663985 	17.2112   	15.137227501622387	 /             	5.1485   	4.6024 	9        	 /             	 /             	0.9977507246376812 	59.2612          	 /      	18.68760840445193 	0.23451524872026383	3.5500000000000003	3.7018176180437754 	4.264115043507585  	19.84494695886297 	0.29748386916526115	4.550000000000001 	3.7018176180437754 	3.361526804145707  	19.84494695886297 	0.29748386916526115	4.550000000000001 	3.7018176180437754 	3.361526804145707  
0.16371078881421522	15.86294705751647 	25         	0.19814395097896634	31.242879829888153	25        	3.6983566059207122 	3.546538987876937 	0.18804377370951234	24.89346145087777 	0.4233378784902669 	131.76108755490412	3.6252399005120886 	4.45              	0.18799035814174386	24.865699330233898	1.8677241827438436	24.865699330233898	3.6120434627542735 	4.45              	17.2112   	15.168207237521555	 /             	5.2139   	4.5965 	26       	 /             	 /             	0.19914372955411266	18.68760840445193	 /      	18.805281195350343	0.24084013704211732	3.65              	3.7018176180437754 	4.152131834342559  	19.958636683735975	0.30375010499401295	4.65              	3.7018176180437754 	3.292179931986231  	19.958636683735975	0.30375010499401295	4.65              	3.7018176180437754 	3.292179931986231  
0.23586765562322046	14.406785362086644	28         	0.26866924960116   	26.322590783422278	28        	3.6018176180437753 	3.495712054145977 	0.2599137437675894 	22.00098813283362 	0.4233447240596604 	132.2356790992478 	3.6018176180437753 	4.430571226034894 	0.259963382351045  	22.022261637620307	1.8693842360289983	22.022261637620307	3.6018176180437753 	4.4414587997574495	17.2112   	15.969831817063486	 /             	5.2744   	4.5856 	29       	 /             	 /             	 /                 	 /               	 /      	18.9224681702107  	0.2471582051075032 	3.75              	3.7018176180437754 	4.045991512056187  	20.07201415190419 	0.3100114614767981 	4.750000000000001 	3.7018176180437754 	3.225687189874566  	20.07201415190419 	0.3100114614767981 	4.750000000000001 	3.7018176180437754 	3.225687189874566  
0.32702544366838343	12.808587138741093	 /         	0.3589721383457866 	22.220380223868645	 /        	3.5309789790784247 	3.4791613610346492	0.350630149479372  	18.997059625039892	0.5137667076571987 	48.794102752624866	3.570174367217454  	4.418356749173679 	0.35073913596195105	19.0345565578596  	1.8730987281217577	19.0345565578596  	3.587780288905057  	4.435962670861282 	17.2112   	16.49048795132841 	 /             	5.3337   	4.5675 	 /       	 /             	 /             	 /                 	 /               	 /      	19.039192473551317	0.25346969608186476	3.85              	3.7018176180437754 	3.945244798325017  	20.18509141702722 	0.31626808527628564	4.8500000000000005	3.7018176180437754 	3.161874518974684  	20.18509141702722 	0.31626808527628564	4.8500000000000005	3.7018176180437754 	3.161874518974684  
0.44223985476146965	11.209460623895414	 /         	0.4738341918779447 	18.760140340291958	 /        	3.5018176180437757 	3.4734466643037396	0.4652368211249564 	16.152776383835548	0.6408302427829206 	33.33007781214375 	3.5018176180437757 	4.394058733881055 	0.46535403230115596	16.184788131273645	1.8870261350915345	16.184788131273645	3.5018176180437757 	4.404916766541791 	17.2112   	16.691512363692343	 /             	5.3893   	4.5401 	 /       	 /             	 /             	 /                 	 /               	 /      	19.15547563513368 	0.2597748399841669 	3.95              	3.7018176180437754 	3.8494875025654878 	20.297879855588214	0.32252011656174717	4.950000000000001 	3.7018176180437754 	3.1005817890077187 	20.297879855588214	0.32252011656174717	4.950000000000001 	3.7018176180437754 	3.1005817890077187 
0.5724081714980411 	9.734763445871623 	 /         	0.6045810468350102 	16.069677278444903	 /        	3.4589377679504025 	3.45              	0.594655124038875  	13.66011242283396 	0.8147709134268051 	24.445960360191446	3.4383122781959945 	4.3500000000000005	0.594751288514075  	13.68106047638716 	1.9499809032396036	13.68106047638716 	3.4232207689910563 	4.3500000000000005	17.2112   	16.972905417977817	 /             	5.4348   	4.505  	 /       	 /             	 /             	 /                 	 /               	 /      	19.27133771839152 	0.2660738546722144 	4.050000000000001 	3.7018176180437754 	3.7583549921954367 	20.410390217027995	0.32876768940425394	5.050000000000001 	3.7018176180437754 	3.0416614291144546 	20.410390217027995	0.32876768940425394	5.050000000000001 	3.7018176180437754 	3.0416614291144546 
0.7475971278099259 	8.1466249366062   	 /         	0.7816866780661575 	13.558666685421551	 /        	3.4018176180437756 	3.419237506104539 	0.7687664732231428 	11.104535169233442	0.9635045061711747 	20.229437440304434	3.4018176180437756 	4.324120948968864 	0.7688278284498291 	11.114808577106684	2.0509980681670297	11.114808577106684	3.4018176180437756 	4.3347085607144304	17.2112   	17.320426875230375	 /             	5.4786   	4.4534 	 /       	 /             	 /             	 /                 	 /               	 /      	19.386797452020225	0.2723669467332689 	4.15              	3.7018176180437754 	3.6715174583181263 	20.522632669286864	0.3350109321410663 	5.15              	3.7018176180437754 	2.9849772173372555 	20.522632669286864	0.3350109321410663 	5.15              	3.7018176180437754 	2.9849772173372555 
0.8938781522559611 	6.861469341925485 	 /         	0.9323590295115468 	12.017237840690635	 /        	3.3810931172175196 	3.429275499173744 	0.9139003732314839 	9.128348885342527 	0.9835986472962057 	19.78230621796437 	3.3878632231716805 	4.3360456051279055	0.9139329128071735 	9.132661566224893 	2.134274522649197 	9.132661566224893 	3.3935718203382597 	4.341754202294485 	17.2112   	17.408230049528353	 /             	5.5152   	4.4098 	 /       	 /             	 /             	 /                 	 /               	 /      	19.50187234698622 	0.2786543122910286 	4.250000000000001 	3.7018176180437754 	3.5886758463496977 	20.634616840253194	0.34124996771213695	5.250000000000001 	3.7018176180437754 	2.9304032076672746 	20.634616840253194	0.34124996771213695	5.250000000000001 	3.7018176180437754 	2.9304032076672746 
0.9081245933388815 	6.215126947318547 	 /         	0.9526809274190283 	11.83836674836043 	 /        	3.3416453845868372 	3.45              	0.9274492004062166 	8.164349755998709 	1.1256720401096685 	17.12891130973541 	3.3715476721065825 	4.3500000000000005	0.9274679716643882 	8.166540631334305 	2.145422581108332 	8.166540631334305 	3.3839297740618015 	4.3500000000000005	17.2112   	17.410382649426687	 /             	5.5515   	4.461  	 /       	 /             	 /             	 /                 	 /               	 /      	19.616578800867714	0.2849361377385192 	4.3500000000000005	3.7018176180437754 	3.50955834502706   	20.746351855555513	0.3474849139713278 	5.3500000000000005	3.7018176180437754 	2.877822776739348  	20.746351855555513	0.3474849139713278 	5.3500000000000005	3.7018176180437754 	2.877822776739348  
1.0506007844482959 	5.5832019719999035	 /         	1.096252736761076  	10.717442297039224	 /        	3.3158300455628593 	3.464012427519084 	1.0691470457220884 	7.240859762388619 	1.2744996688444612 	15.064046234506831	3.334751808504722  	4.382934190460947 	1.0691528312528533 	7.241451381783399 	2.2297779376731737	7.241451381783399 	3.340594114439803  	4.388776496396027 	17.331    	17.411722085085806	 /             	5.5437   	4.4098 	 /       	 /             	 /             	 /                 	 /               	 /      	19.730932191150465	0.29121260040517005	4.45              	3.7018176180437754 	3.433917346325947  	20.857846373080985	0.35371588397465364	5.450000000000001 	3.7018176180437754 	2.827127774877244  	20.857846373080985	0.35371588397465364	5.450000000000001 	3.7018176180437754 	2.827127774877244  
1.1993181706345601 	5.011927263873075 	 /         	1.2463800323670895 	9.75934791640967  	 /        	3.3018176180437755 	3.4721939933499453	1.2170640689468852 	6.4221050312305   	1.4175443733840785 	13.52804471122803 	3.3018176180437755 	4.412436720927306 	1.2170584737903134 	6.421601522449233 	2.3157387227851642	6.421601522449233 	3.3018176180437755 	4.423502693163353 	17.3882   	17.41242751509795 	 /             	5.5533   	4.3621 	 /       	 /             	 /             	 /                 	 /               	 /      	19.52831879634984 	0.22217606528234865	3.5500000000000003	3.6018176180437753 	4.5009348722112215 	20.969108614557   	0.3599429862476168 	5.550000000000001 	3.7018176180437754 	2.778217768388648  	20.969108614557   	0.3599429862476168 	5.550000000000001 	3.7018176180437754 	2.778217768388648  
1.3419066532589208 	4.537448034421973 	 /         	1.390492309336682  	8.99590166541366  	 /        	3.254789108812283  	3.5029714907685077	1.3589058051940988 	5.753736439530946 	1.5532054843853798 	12.354726768270675	3.282068882953364  	4.430251264909589 	1.358891071862902  	5.752552783605606 	2.398849699681654 	5.752552783605606 	3.287885053233368  	4.436067435189592 	17.4207   	17.414483408043484	 /             	5.5601   	4.3117 	 /       	 /             	 /             	 /                 	 /               	 /      	19.64347667662006 	0.2282180462573046 	3.65              	3.6018176180437753 	4.381774431950702  	21.080146394492658	0.3661663250334815 	5.65              	3.7018176180437754 	2.730999361857107  	21.080146394492658	0.3661663250334815 	5.65              	3.7018176180437754 	2.730999361857107  
1.476692464602074  	4.132100309971669 	 /         	1.5270381905515458 	8.382154760737377 	 /        	3.2018176180437754 	3.5376664713267805	1.4929852914193495 	5.191207529991339 	1.6946318417113804 	11.344531856423032	3.2601901131264412 	4.45              	1.492963131782965  	5.189601934828468 	2.477931056060705 	5.189601934828468 	3.2724457866323995 	4.45              	17.4336   	17.41559487857388 	 /             	5.5639   	4.2627 	 /       	 /             	 /             	 /                 	 /               	 /      	19.75821787446698 	0.23425468277647757	3.75              	3.6018176180437753 	4.268858099857861  	21.190967146742253	0.37238600052414084	5.750000000000001 	3.7018176180437754 	2.6853855907377824 	21.190967146742253	0.37238600052414084	5.750000000000001 	3.7018176180437754 	2.6853855907377824 
1.6168444864299483 	3.751056205482057 	 /         	1.6692840060781418 	7.831926477528035 	 /        	3.194373440340694  	3.5425558222969187	1.6324073703050557 	4.669618322713091 	1.8413640212510731 	10.466467075917851	3.2301592292669596 	4.478341611223184 	1.6323787979697415 	4.6677516315853005	2.56083446638385  	4.6677516315853005	3.2361019231735555 	4.48428430512978  	17.4363   	17.415743862096676	 /             	5.5657   	4.216  	 /       	 /             	 /             	 /                 	 /               	 /      	19.872562240849014	0.2402861628575577 	3.85              	3.6018176180437753 	4.1617044781426005 	21.301577948923015	0.3786021090750638 	5.8500000000000005	3.7018176180437754 	2.641295375884275  	21.301577948923015	0.3786021090750638 	5.8500000000000005	3.7018176180437754 	2.641295375884275  
